Date;Time;Code;Object;Area;Status;Comment;CO2abs;CO2buf;dCO2ZP;dCO2MP;H2Oabs;H2Obuf;dH2OZP;dH2OMP;Flow;Pamb;Aux1;Aux2;Tcuv;Tleaf;Tamb;Ttop;PARtop;PARbot;PARamb;Imp;rh;E;VPD;GH2O;A;ci;ca;wa;Fo;Fm;Fv/Fm;F;Fm';Fo';Fo'calc;Yield;ETR;qP;qL;qN;NPQ;Y(NPQ);F(I)/Fo-set;ETR-Fac
yyyy-mm-dd;hh:mm:ss;string;No;cm2;string;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;µmol/s;kPa;mV;mV;°C;°C;°C;°C;µmol m-2 s-1;µmol m-2 s-1;µmol m-2 s-1;steps;%;mmol m-2 s-1;Pa/kPa;mmol m-2 s-1;µmol m-2 s-1;ppm;ppm;ppm;mV;mV;;mV;mV;mV;mV;;;;;;;;;
2021-08-02;14:02:22;ZPi010;0000;8;AFF1FF632FF---4FF-------------;;199.3615;199.3759;0.1018525;;20992.57;20997.93;127.0183;;799.69;98.669;630;461;24.39;24.99;26.08;24.44;799.5;1.7;2.2;6;;;;;;;199.83;20948.1;;;;646;;;;;;;;;;;;
2021-08-02;14:07:18;ZPi010;0000;8;AFF1FF632FF---4FF-------------;;403.4978;403.4456;-0.2931845;;21001.28;21001.95;133.4366;;799.81;98.660;632;462;24.53;24.96;25.30;24.45;799.4;2.0;2.0;6;;;;;;;403.10;21007.7;;;;658;;;;;;;;;;;;
2021-08-02;14:09:36;MP_010;0001;8;AFF1FF632FF---4FF-------------;;401.1685;401.0078;-0.2931845;-10.40713;20991.28;20986.29;133.4366;2262.3;799.79;98.663;632;462;24.60;24.98;25.34;24.42;799.6;1.6;2.2;6;73.74;2.178652;9.207269;236.623;9.259221;324.8864;391.07;23115.2;0;0;0.0000;660;792;;;0.1667;55.97;0.1667;0.0000;;-1.0000;;0.00;0.840
2021-08-02;14:13:54;ZPi010;0000;8;AFF1FF632FF---4FF-------------;;298.9295;298.9969;-0.2044171;;21052.96;21054.46;134.5385;;799.61;98.662;633;463;24.59;24.97;25.46;24.47;799.8;1.8;2.4;6;;;;;;;299.02;21054.1;;;;656;;;;;;;;;;;;
2021-08-02;14:15:44;MP_010;0001;8;AFF1FF632FF---4FF-------------;;298.8929;298.8799;-0.2044171;-8.572287;21047.3;21043.29;134.5385;2330.725;799.78;98.666;634;464;24.60;24.98;25.51;24.52;799.8;1.8;2.5;6;74.17;2.247827;9.066312;247.9318;7.712542;238.2601;290.53;23239.5;0;0;0.0000;648;774;;;0.1628;54.68;0.1628;0.0000;;-1.0000;;0.00;0.840
2021-08-02;14:18:01;MP_010;0001;8;AFF1FF632FF---4FF-------------;;250.1737;249.9933;-0.2044171;-7.071628;21008.96;21006.28;134.5385;2371.786;799.73;98.652;634;464;24.61;24.97;25.20;24.46;799.2;1.9;2.4;6;74.12;2.289701;9.051408;252.9662;6.307768;201.2625;243.30;23243.5;0;0;0.0000;639;757;;;0.1559;52.32;0.1559;0.0000;;-1.0000;;0.00;0.840
2021-08-02;14:21:12;ZPi010;0000;8;AFF1FF632FF---4FF-------------;;197.6189;197.6035;-8.96994E-03;;20985.2;20981.93;130.8735;;799.74;98.658;634;464;24.65;24.98;25.66;24.53;799.8;1.8;2.2;6;;;;;;;197.81;20981.5;;;;628;;;;;;;;;;;;
2021-08-02;14:25:32;MP_010;0001;8;AFF1FF632FF---4FF-------------;;199.6945;199.7442;-8.96994E-03;-5.360065;21019.18;21018.05;130.8735;2591.609;799.79;98.656;634;464;24.67;24.97;25.55;24.62;799.2;2.0;2.2;6;74.61;2.519239;8.819741;285.6364;4.860057;165.3415;194.36;23478.8;0;0;0.0000;624;728;;;0.1429;47.95;0.1429;0.0000;;-1.0000;;0.00;0.840
2021-08-02;14:28:19;MP_010;0001;8;AFF1FF632FF---4FF-------------;;149.1736;149.1738;-8.96994E-03;-3.534194;21036.22;21039.44;130.8735;2665.339;799.76;98.648;635;464;24.68;24.98;25.83;24.63;799.6;1.9;2.3;6;74.83;2.594865;8.728509;297.2862;3.146199;127.2865;145.65;23573.9;0;0;0.0000;620;711;;;0.1280;42.98;0.1280;0.0000;;-1.0000;;0.00;0.840
2021-08-02;14:33:10;ZPi010;0000;8;AFF1FF632FF---4FF-------------;;98.26209;98.26811;-3.612367E-02;;21003.48;21003.4;128.3858;;799.75;98.645;636;465;24.71;24.99;26.10;24.78;799.4;1.8;2.4;6;;;;;;;98.23;21001.0;;;;615;;;;;;;;;;;;
2021-08-02;14:37:32;MP_010;0001;8;AFF1FF632FF---4FF-------------;;99.79947;99.83218;-3.612367E-02;-1.846035;20999.14;21000.07;128.3858;2991.07;799.74;98.643;637;466;24.76;24.99;26.30;24.82;799.8;2.2;2.2;6;75.39;2.931715;8.460923;346.5006;1.522084;89.88469;97.98;23862.8;0;0;0.0000;611;691;;;0.1158;38.89;0.1158;0.0000;;-1.0000;;0.00;0.840
2021-08-02;14:41:37;MP_010;0001;8;AFF1FF632FF---4FF-------------;;50.05882;50.03277;-3.612367E-02;2.490817E-02;20963.08;20964.24;128.3858;3041.24;799.81;98.636;637;466;24.79;24.94;24.80;24.63;799.1;2.0;2.4;6;75.30;2.983384;8.352093;357.202;-0.2105603;50.39013;50.13;23877.1;0;0;0.0000;615;683;;;0.0996;33.41;0.0996;0.0000;;-1.0000;;0.00;0.840
2021-08-02;14:47:33;ZPi010;0000;8;AFF1FF632FF---4FF-------------;;401.2928;401.331;-0.2790849;;21040.99;21043.08;138.4535;;799.75;98.631;636;466;24.89;24.98;25.54;24.75;799.5;1.6;2.0;6;;;;;;;401.05;21051.1;;;;620;;;;;;;;;;;;
2021-08-02;14:50:21;MP_010;0001;8;AFF1FF632FF---4FF-------------;;400.4611;400.6841;-0.2790849;-11.32481;20989.94;20988.59;138.4535;3218.044;799.79;98.628;636;466;24.91;24.97;25.24;24.73;799.4;1.8;2.0;6;75.34;3.154722;8.217793;383.8892;9.8144;344.8166;389.41;24068.2;0;0;0.0000;628;758;;;0.1715;57.58;0.1715;0.0000;;-1.0000;;0.00;0.840
2021-08-02;14:54:14;MP_010;0001;8;AFF1FF632FF---4FF-------------;;502.1573;502.3456;-0.2790849;-12.87887;20989.14;20986.71;138.4535;3289.222;799.79;98.629;636;465;24.92;25.00;25.73;24.87;799.6;1.9;2.2;6;75.54;3.227844;8.202956;393.4977;11.01616;439.9565;489.58;24137.5;0;0;0.0000;631;769;;;0.1795;60.27;0.1795;0.0000;;-1.0000;;0.00;0.840
