Date;Time;Code;Object;Area;Status;Comment;CO2abs;CO2buf;dCO2ZP;dCO2MP;H2Oabs;H2Obuf;dH2OZP;dH2OMP;Flow;Pamb;Aux1;Aux2;Tcuv;Tleaf;Tamb;Ttop;PARtop;PARbot;PARamb;Imp;rh;E;VPD;GH2O;A;ci;ca;wa;Fo;Fm;Fv/Fm;F;Fm';Fo';Fo'calc;Yield;ETR;qP;qL;qN;NPQ;Y(NPQ);F(I)/Fo-set;ETR-Fac
yyyy-mm-dd;hh:mm:ss;string;No;cm2;string;;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;µmol/s;kPa;mV;mV;°C;°C;°C;°C;µmol m-2 s-1;µmol m-2 s-1;µmol m-2 s-1;steps;%;mmol m-2 s-1;Pa/kPa;mmol m-2 s-1;µmol m-2 s-1;ppm;ppm;ppm;mV;mV;;mV;mV;mV;mV;;;;;;;;;
2021-08-03;17:36:38;ZPi010;0000;8;AFF1FF532FF---4FF-------------;;399.6209;399.6239;-0.3393;;20998.2;20998.33;109.1113;;799.79;98.491;651;477;24.56;25.00;26.18;24.43;799.4;2.1;0.5;6;;;;;;;399.88;20975.8;;;;599;;;;;;;;;;;;
2021-08-03;17:54:40;MP_010;0001;8;AFF1FF532FF---4FF-------------;;400.3313;400.3332;-0.3393;-11.57053;21007.45;21008.05;109.1113;2364.764;799.77;98.489;650;477;24.65;24.98;26.31;24.61;799.3;2.1;0.4;6;73.86;2.308727;9.114713;253.2967;10.32975;320.4323;389.10;23263.7;0;0;0.0000;583;728;;;0.1992;66.87;0.1992;0.0000;;-1.0000;;0.00;0.840
2021-08-03;18:01:56;ZPi010;0000;8;AFF1FF532FF---4FF-------------;;297.8504;297.8759;-0.3016255;;20996.74;20998.85;114.7204;;799.77;98.492;651;477;24.67;24.97;26.55;24.72;799.4;2.2;0.4;6;;;;;;;297.89;21002.4;;;;583;;;;;;;;;;;;
2021-08-03;18:04:45;MP_010;0001;8;AFF1FF532FF---4FF-------------;;298.6873;298.7209;-0.3016255;-9.020971;20996.63;20997.37;114.7204;2564.218;799.75;98.499;651;477;24.70;24.99;26.46;24.75;799.5;1.9;0.4;6;74.25;2.507522;8.9341;280.6687;7.989496;241.8591;289.97;23446.9;0;0;0.0000;579;706;;;0.1799;60.41;0.1799;0.0000;;-1.0000;;0.00;0.840
2021-08-03;18:08:01;MP_010;0001;8;AFF1FF532FF---4FF-------------;;249.15;249.1418;-0.3016255;-7.431431;20995.4;20996.47;114.7204;2640.409;799.79;98.497;652;478;24.72;24.98;26.53;24.72;799.4;2.4;0.4;6;74.40;2.585836;8.832945;292.749;6.502076;204.2936;242.02;23522.2;0;0;0.0000;579;698;;;0.1705;57.24;0.1705;0.0000;;-1.0000;;0.00;0.840
2021-08-03;18:15:47;ZPi010;0000;8;AFF1FF532FF---4FF-------------;;199.4007;199.4051;-9.243684E-02;;20990.83;20987.24;112.3531;;799.77;98.488;652;478;24.80;24.99;26.63;24.78;799.5;2.1;0.2;6;;;;;;;199.61;20988.5;;;;579;;;;;;;;;;;;
2021-08-03;18:19:16;MP_010;0001;8;AFF1FF532FF---4FF-------------;;199.4636;199.4883;-9.243684E-02;-5.727826;20994.05;20993.11;112.3531;2921.241;799.75;98.488;652;478;24.81;24.98;26.52;24.82;799.3;2.0;0.6;6;74.88;2.876472;8.551114;336.3857;5.076045;167.8865;193.84;23802.0;0;0;0.0000;575;683;;;0.1581;53.08;0.1581;0.0000;;-1.0000;;0.00;0.840
2021-08-03;18:24:46;ZPi010;0000;8;AFF1FF532FF---4FF-------------;;147.6021;147.5699;3.068039E-02;;20991.33;20992.14;109.1727;;799.80;98.487;653;478;24.82;24.99;26.64;24.84;799.2;2.0;0.4;6;;;;;;;147.73;20988.1;;;;583;;;;;;;;;;;;
2021-08-03;18:26:12;MP_010;0001;8;AFF1FF532FF---4FF-------------;;147.8708;147.9032;3.068039E-02;-3.749149;20998.58;21000.29;109.1727;3028.371;799.77;98.485;653;479;24.82;24.99;26.61;24.84;799.4;1.9;0.5;6;75.16;2.989885;8.463531;353.2668;3.347964;127.5049;144.08;23919.5;0;0;0.0000;579;675;;;0.1422;47.75;0.1422;0.0000;;-1.0000;;0.00;0.840
